outer_fold,h,alpha,inner_cv_mse
8,2,1.0,431.72879481561023
8,2,10.0,430.5710501923895
8,2,100.0,423.86462372727584
8,4,0.0001,486.3707810656927
8,4,0.001,486.3692975844764
8,4,0.01,486.3617140051509
8,4,0.1,486.78887604286564
8,4,1.0,486.1977096725712
8,4,10.0,480.6918257681088
8,4,100.0,450.6497122225296
8,8,0.0001,444.2391443132789
8,8,0.001,444.23601382263075
8,8,0.01,444.53560170428744
8,8,0.1,446.13543894782106
8,8,1.0,453.6772801452368
8,8,10.0,458.0508837191657
8,8,100.0,436.6729103082952
8,12,0.0001,513.6411817953796
8,12,0.001,513.7028399096869
8,12,0.01,513.7880724690449
8,12,0.1,513.581729562374
8,12,1.0,511.6451234855357
8,12,10.0,502.9724778507217
8,12,100.0,467.62236492701203
8,16,0.0001,475.79520388800677
8,16,0.001,475.5690538114569
8,16,0.01,475.6288595990616
8,16,0.1,475.5431747937134
8,16,1.0,475.4801255815889
8,16,10.0,481.8073983549895
8,16,100.0,425.29984797998367
8,20,0.0001,483.56985527190835
8,20,0.001,482.0807036727718
8,20,0.01,482.1186982849619
8,20,0.1,481.31202250481965
8,20,1.0,480.76544700784524
8,20,10.0,461.1385261842067
8,20,100.0,427.34126211950496
8,24,0.0001,493.91410291536886
8,24,0.001,494.08282964301515
8,24,0.01,493.9503309912987
8,24,0.1,486.14043533236617
8,24,1.0,494.5176114481088
8,24,10.0,494.08685878729557
8,24,100.0,438.4752074277245
9,1,0.0001,381.6977944665047
9,1,0.001,381.6944018977096
9,1,0.01,380.0019968757284
9,1,0.1,379.7293588918785
9,1,1.0,378.0515809973062
9,1,10.0,377.9935908493404
9,1,100.0,407.13436259411884
9,2,0.0001,412.1329809472206
9,2,0.001,412.1328576968849
9,2,0.01,412.13155747364254
9,2,0.1,412.11437579991144
9,2,1.0,412.0752627293864
9,2,10.0,412.37699361095076
9,2,100.0,406.9147009066148
9,4,0.0001,443.9488014655218
9,4,0.001,443.94959646217046
9,4,0.01,443.94659329767165
9,4,0.1,443.9525867463855
9,4,1.0,443.6124855626006
9,4,10.0,443.5176106918144
9,4,100.0,428.2281821145108
9,8,0.0001,393.3450339740264
9,8,0.001,393.3424165713064
9,8,0.01,393.9037531929119
9,8,0.1,393.3844580351094
9,8,1.0,399.55207973546254
9,8,10.0,396.12721716928115
9,8,100.0,379.9037451111738
9,12,0.0001,445.0545458624736
9,12,0.001,445.0277772182329
9,12,0.01,443.3983776855981
9,12,0.1,446.2228810107592
